date,max_temp,min_temp
2026-04-14,17.9,9.8
2026-04-15,19.4,8.4
2026-04-16,21.2,8.2
2026-04-17,19.7,11.6
2026-04-18,20.5,11.0
2026-04-19,20.6,10.8
2026-04-20,20.9,12.7
2026-04-21,21.4,11.6
